,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
1214,K2-241 b,488.0,7.04 Earths,11.97,2018,Neptune-like,0.227 x Jupiter,0.1567 AU,26.8 days,0.0,K2-240,Transit,,89.26,0.51,-0.64,0.0,,,,,,0.178,0.018,-0.009,0.0,,,,,0,0,1,0,15h11m23.91s,227.849609,-17d52m30.8s,-17.875217,70.0,3.0,-3.0,0.0,73.06,0.52,-0.52,0.0,13.392,0.01,0.0,V (Johnson),12.621,,0.0,3810.0,17.0,-17.0,0.0,0.58,0.01,-0.01,0.0,0.54,0.01,-0.01,0.0,2018-06-21,K2
1215,K2-242 b,358.0,6.99 Earths,16.588,2018,Neptune-like,0.227 x Jupiter,0.0494 AU,6.5 days,0.0,K2-240,Transit,,89.66,0.22,-0.26,0.0,,,,,,0.161,0.027,-0.009,0.0,,,,,0,0,1,0,15h11m23.91s,227.849609,-17d52m30.8s,-17.875217,70.0,3.0,-3.0,0.0,73.06,0.52,-0.52,0.0,13.392,0.01,0.0,V (Johnson),12.621,,0.0,3810.0,17.0,-17.0,0.0,0.58,0.01,-0.01,0.0,0.54,0.01,-0.01,0.0,2018-06-21,K2
1216,K2-243 b,878.0,5.35 Earths,10.97,2018,Neptune-like,2.17 x Earth,0.1087 AU,11.5 days,0.0,K2-241,Transit,,,,,,,,,,,0.227,0.016,-0.009,0.0,,,,,0,0,1,0,12h04m57.45s,181.239365,-06d48m17.7s,-6.804924,149.6,1.1,-1.0,0.0,150.1,1.09,-1.09,0.0,11.97,0.226,0.0,V (Johnson),11.756,,0.0,5262.0,43.0,-39.0,0.0,0.71,0.01,-0.01,0.0,0.75,0.01,-0.01,0.0,2018-07-12,K2
1217,K2-243 c,878.0,4.7 Earths,10.97,2018,Super Earth,2.01 x Earth,0.1817 AU,24.9 days,0.0,K2-242,Transit,,,,,,,,,,,0.227,0.019,-0.017,0.0,,,,,0,0,1,0,11h59m20.62s,179.835907,-06d31m04.3s,-6.517851,109.6,0.6,-0.6,0.0,109.58,0.62,-0.62,0.0,16.588,0.08,0.0,V (Johnson),15.382,,0.0,3459.0,65.0,-38.0,0.0,0.38,0.01,-0.01,0.0,0.37,0.01,-0.01,0.0,2018-07-12,K2
1218,K2-244 b,698.0,3.71 Earths,11.78,2018,Super Earth,1.75 x Earth,0.1418 AU,21.1 days,0.0,K2-243,Transit,,,,,,,,,,,0.194,0.012,-0.011,0.0,,,,,0,0,1,0,12h04m29.14s,181.121399,-04d53m57.1s,-4.899185,269.2,3.6,-3.4,0.0,268.88,3.5,-3.5,0.0,10.97,0.096,0.0,V (Johnson),10.742,,0.0,6570.0,269.0,-171.0,0.0,1.29,0.04,-0.06,0.0,1.39,0.03,-0.03,0.0,2018-07-12,K2
1219,K2-245 b,1512.0,17.4 Earths,12.212,2018,Neptune-like,0.387 x Jupiter,0.0959 AU,11.9 days,0.0,K2-243,Transit,,,,,,,,,,,0.179,0.013,-0.012,0.0,,,,,0,0,1,0,12h04m29.14s,181.121399,-04d53m57.1s,-4.899185,269.2,3.6,-3.4,0.0,268.88,3.5,-3.5,0.0,10.97,0.096,0.0,V (Johnson),10.742,,0.0,6570.0,269.0,-171.0,0.0,1.29,0.04,-0.06,0.0,1.39,0.03,-0.03,0.0,2018-07-12,K2
1220,K2-246 b,2359.0,12 Earths,14.55,2018,Neptune-like,0.311 x Jupiter,0.0602 AU,5.8 days,0.0,K2-244,Transit,,,,,,,,,,,0.156,0.012,-0.009,0.0,,,,,0,0,1,0,12h13m52.54s,183.468918,-03d49m54.7s,-3.831868,214.0,2.4,-2.3,0.0,214.18,2.41,-2.41,0.0,11.78,0.176,0.0,V (Johnson),11.632,,0.0,5677.0,38.0,-39.0,0.0,0.86,0.02,-0.02,0.0,0.92,0.02,-0.01,0.0,2018-07-12,K2
1221,K2-247 b,849.0,5.14 Earths,14.956,2018,Neptune-like,2.12 x Earth,0.0304 AU,2.3 days,0.0,K2-245,Transit,,,,,,,,,,,0.387,0.017,-0.012,0.0,,,,,0,0,1,0,12h20m43.60s,185.181686,-01d35m27.2s,-1.590889,463.4,9.1,-8.4,0.0,462.01,8.71,-8.71,0.0,12.212,0.16,0.0,V (Johnson),12.564,,0.0,5793.0,66.0,-52.0,0.0,0.83,0.02,-0.01,0.0,1.25,0.03,-0.03,0.0,2018-07-12,K2
1222,K2-247 c,849.0,5.43 Earths,14.956,2018,Neptune-like,2.19 x Earth,0.0615 AU,6.5 days,0.0,K2-246,Transit,,,,,,,,,,,0.311,0.022,-0.019,0.0,,,,,0,0,1,0,12h06m31.13s,181.629715,-01d09m38.0s,-1.16056,723.1,24.9,-24.7,0.0,717.78,27.34,-27.34,0.0,14.55,0.03,0.0,V (Johnson),14.351,,0.0,5610.0,32.0,-29.0,0.0,0.87,0.02,-0.02,0.0,0.94,0.03,-0.03,0.0,2018-07-12,K2
1223,K2-248 b,1339.0,7.13 Earths,13.402,2018,Neptune-like,0.229 x Jupiter,0.0699 AU,7.2 days,0.0,K2-247,Transit,,,,,,,,,,,0.189,0.017,-0.014,0.0,,,,,0,0,1,0,12h35m34.49s,188.893692,-10d04m09.2s,-10.069232,260.2,2.1,-2.1,0.0,260.04,2.05,-2.05,0.0,14.956,0.07,0.0,V (Johnson),14.358,,0.0,4667.0,305.0,-183.0,0.0,0.74,0.03,-0.03,0.0,0.69,0.02,-0.01,0.0,2018-07-12,K2
1224,K2-249 b,1723.0,8.2 Earths,11.827,2018,Neptune-like,0.249 x Jupiter,0.1151 AU,12.4 days,0.0,K2-247,Transit,,,,,,,,,,,0.195,0.022,-0.021,0.0,,,,,0,0,1,0,12h35m34.49s,188.893692,-10d04m09.2s,-10.069232,260.2,2.1,-2.1,0.0,260.04,2.05,-2.05,0.0,14.956,0.07,0.0,V (Johnson),14.358,,0.0,4667.0,305.0,-183.0,0.0,0.74,0.03,-0.03,0.0,0.69,0.02,-0.01,0.0,2018-07-12,K2
1225,K2-24 b,559.0,19 Earths,11.07,2016,Neptune-like,0.482 x Jupiter,0.154 AU,20.9 days,0.06,K2-248,Transit,,,,,,,,,,,0.229,0.018,-0.012,0.0,,,,,0,0,1,0,12h11m16.14s,182.817245,-09d24m50.4s,-9.414005,410.5,4.9,-4.9,0.0,411.03,5.01,-5.01,0.0,13.402,0.06,0.0,V (Johnson),13.262,,0.0,5528.0,97.0,-86.0,0.0,0.88,0.04,-0.03,0.0,0.92,0.02,-0.02,0.0,2018-07-12,K2
1226,K2-24 c,559.0,15.4 Earths,11.07,2016,Neptune-like,0.669 x Jupiter,0.247 AU,42.3 days,< 0.07,K2-249,Transit,,,,,,,,,,,0.249,0.024,-0.02,0.0,,,,,0,0,1,0,12h13m28.00s,183.366669,-08d59m42.4s,-8.995114,528.3,16.9,-14.7,0.0,529.23,16.75,-16.75,0.0,11.827,0.211,0.0,V (Johnson),12.45,,0.0,6504.0,329.0,-419.0,0.0,1.32,0.09,-0.12,0.0,1.57,0.06,-0.06,0.0,2018-07-12,K2
1227,K2-250 b,1362.0,6.53 Earths,14.267,2018,Neptune-like,0.218 x Jupiter,0.0459 AU,4 days,0.0,K2-25,Transit,0.0,88.3,1.2,-0.7,0.0,,,,,,0.306,0.085,-0.028,0.0,,,,,0,0,1,0,04h13m05.62s,63.273434,+15d14m51.9s,15.247763,45.01,0.17,-0.17,0.0,45.01,0.17,-0.17,0.0,15.881,0.03,0.0,V (Johnson),14.382,,0.0,3180.0,60.0,-60.0,0.0,0.29,0.02,-0.02,0.0,0.29,0.02,-0.02,0.0,2017-09-28,K2
1228,K2-251 b,482.0,6.12 Earths,15.621,2018,Neptune-like,0.21 x Jupiter,0.0694 AU,9.3 days,0.0,K2-250,Transit,,,,,,,,,,,0.218,0.017,-0.013,0.0,,,,,0,0,1,0,12h20m07.62s,185.031769,-08d58m32.8s,-8.975785,417.6,6.2,-6.0,0.0,419.64,6.36,-6.36,0.0,14.267,0.12,0.0,V (Johnson),13.973,,0.0,5172.0,46.0,-44.0,0.0,0.8,0.03,-0.02,0.0,0.81,0.02,-0.02,0.0,2018-07-12,K2
1229,K2-252 b,750.0,3.68 Earths,12.847,2018,Super Earth,1.74 x Earth,0.1041 AU,13.8 days,0.0,K2-251,Transit,,,,,,,,,,,0.21,0.023,-0.019,0.0,,,,,0,0,1,0,12h42m45.41s,190.689224,-08d32m09.3s,-8.53592,147.7,1.0,-1.0,0.0,147.65,1.04,-1.04,0.0,15.621,0.08,0.0,V (Johnson),14.77,,0.0,3717.0,85.0,-50.0,0.0,0.52,0.01,-0.01,0.0,0.49,0.01,-0.01,0.0,2018-07-12,K2
1230,K2-253 b,2942.0,Unknown,14.868,2018,Gas Giant,1.13 x Jupiter,0.0506 AU,4 days,0.0,K2-252,Transit,,,,,,,,,,,0.155,0.015,-0.011,0.0,,,,,0,0,1,0,12h09m27.93s,182.366364,-08d18m34.3s,-8.30952,229.9,2.1,-1.9,0.0,230.34,2.08,-2.08,0.0,12.847,0.05,0.0,V (Johnson),12.62,,0.0,5152.0,41.0,-39.0,0.0,0.79,0.02,-0.01,0.0,0.82,0.01,-0.01,0.0,2018-07-12,K2
1231,K2-254 b,748.0,3.29 Earths,14.183,2018,Super Earth,1.63 x Earth,0.0448 AU,4.1 days,0.0,K2-253,Transit,,,,,,,,,,,1.13,0.062,-0.054,0.0,,,,,0,0,1,0,12h24m20.50s,186.085403,-06d22m44.0s,-6.378884,901.8,30.0,-27.9,0.0,899.17,29.14,-29.14,0.0,14.868,0.07,0.0,V (Johnson),14.704,,0.0,6027.0,221.0,-240.0,0.0,1.08,0.05,-0.08,0.0,1.1,0.04,-0.04,0.0,2018-07-12,K2
1232,K2-254 c,748.0,5.43 Earths,14.183,2018,Neptune-like,2.19 x Earth,0.0923 AU,12.1 days,0.0,K2-254,Transit,,,,,,,,,,,0.145,0.025,-0.021,0.0,,,,,0,0,1,0,12h22m12.18s,185.550751,-04d43m02.0s,-4.717236,229.4,1.3,-1.3,0.0,229.28,1.3,-1.3,0.0,14.183,0.05,0.0,V (Johnson),13.743,,0.0,4629.0,168.0,-123.0,0.0,0.71,0.02,-0.03,0.0,0.67,0.01,-0.01,0.0,2018-07-12,K2
1233,K2-255 b,628.0,8.75 Earths,13.756,2018,Neptune-like,0.259 x Jupiter,0.0274 AU,2 days,0.0,K2-254,Transit,,,,,,,,,,,0.195,0.021,-0.016,0.0,,,,,0,0,1,0,12h22m12.18s,185.550751,-04d43m02.0s,-4.717236,229.4,1.3,-1.3,0.0,229.28,1.3,-1.3,0.0,14.183,0.05,0.0,V (Johnson),13.743,,0.0,4629.0,168.0,-123.0,0.0,0.71,0.02,-0.03,0.0,0.67,0.01,-0.01,0.0,2018-07-12,K2
1234,K2-256 b,1894.0,7.41 Earths,14.939,2018,Neptune-like,0.235 x Jupiter,0.0578 AU,5.5 days,0.0,K2-255,Transit,,,,,,,,,,,0.259,0.025,-0.01,0.0,,,,,0,0,1,0,12h39m39.12s,189.912994,-03d22m14.0s,-3.370542,192.4,1.5,-1.5,0.0,192.66,1.53,-1.53,0.0,13.756,0.05,0.0,V (Johnson),13.309,,0.0,4676.0,63.0,-61.0,0.0,0.71,0.03,-0.03,0.0,0.69,0.01,-0.01,0.0,2018-07-12,K2
1235,K2-257 b,209.0,0.498 Earths,13.716,2018,Terrestrial,0.83 x Earth,0.0216 AU,1.6 days,0.0,K2-256,Transit,,,,,,,,,,,0.235,0.022,-0.019,0.0,,,,,0,0,1,0,12h24m54.52s,186.227158,-02d03m57.4s,-2.065931,580.5,14.9,-13.9,0.0,573.78,14.91,-14.91,0.0,14.939,0.01,0.0,V (Johnson),14.699,,0.0,5219.0,179.0,-136.0,0.0,0.84,0.03,-0.04,0.0,0.78,0.02,-0.02,0.0,2018-07-12,K2
1236,K2-258 b,2203.0,9.27 Earths,13.298,2018,Neptune-like,0.268 x Jupiter,0.149 AU,19.1 days,0.0,K2-257,Transit,,,,,,,,,,,0.074,0.005,-0.004,0.0,,,,,0,0,1,0,12h33m06.84s,188.278488,-01d57m11.4s,-1.953159,64.1,0.3,-0.3,0.0,64.12,0.26,-0.26,0.0,13.716,0.03,0.0,V (Johnson),12.86,,0.0,3725.0,80.0,-46.0,0.0,0.52,0.01,-0.01,0.0,0.5,0.01,-0.01,0.0,2018-07-12,K2
1237,K2-259 b,1377.0,5.99 Earths,12.536,2018,Neptune-like,0.207 x Jupiter,0.1271 AU,15.5 days,0.0,K2-258,Transit,,,,,,,,,,,0.268,0.019,-0.018,0.0,,,,,0,0,1,0,12h30m31.52s,187.631332,-01d09m39.3s,-1.16092,675.2,11.6,-11.5,0.0,674.71,11.38,-11.38,0.0,13.298,0.03,0.0,V (Johnson),13.139,,0.0,6351.0,198.0,-228.0,0.0,1.21,0.05,-0.08,0.0,1.31,0.03,-0.03,0.0,2018-07-12,K2
1238,K2-25 b,147.0,11.6 Earths,15.881,2015,Neptune-like,0.306 x Jupiter,Unknown,3.5 days,0.27,K2-259,Transit,,,,,,,,,,,0.207,0.018,-0.015,0.0,,,,,0,0,1,0,12h27m12.65s,186.802689,+01d34m00.7s,1.566849,422.1,7.7,-7.8,0.0,421.37,8.17,-8.17,0.0,12.536,0.04,0.0,V (Johnson),12.375,,0.0,6059.0,62.0,-76.0,0.0,1.14,0.03,-0.03,0.0,1.13,0.03,-0.02,0.0,2018-07-12,K2
1239,K2-260 b,2206.0,1.42 Jupiters,12.689,2018,Gas Giant,1.552 x Jupiter,0.0404 AU,2.6 days,0.0,K2-26,Transit,,88.4,1.2,-1.5,0.0,,,,,,0.238,0.041,-0.037,0.0,,,,,0,0,1,0,06h16m49.58s,94.206581,+24d35m47.1s,24.596411,99.33,0.51,-0.51,0.0,99.33,0.51,-0.51,0.0,14.53,0.03,0.0,V (Johnson),13.752,,0.0,3785.0,185.0,-185.0,0.0,0.56,0.1,-0.1,0.0,0.52,0.08,-0.08,0.0,2016-01-21,K2
1240,K2-261 b,700.0,0.223 Jupiters,10.612,2018,Gas Giant,0.85 x Jupiter,0.102 AU,11.6 days,0.39,K2-260,Transit,0.0,88.67,0.89,-1.0,0.0,1.42,0.31,-0.32,0.0,Mass,1.552,0.048,-0.057,0.0,0.5,0.12,-0.12,0.0,0,0,1,0,05h07m28.16s,76.867325,+16d52m03.8s,16.867718,676.32,19.42,-19.42,0.0,676.32,19.42,-19.42,0.0,12.689,0.11,0.0,V (Johnson),12.467,,0.0,6367.0,250.0,-250.0,0.0,1.39,0.05,-0.06,0.0,1.69,0.03,-0.03,0.0,2018-08-16,K2
1241,K2-263 b,532.0,14.8 Earths,11.606,2018,Super Earth,0.215 x Jupiter,0.2573 AU,50.8 days,< 0.14,K2-261,Transit,0.0,88.4,1.1,-1.9,0.0,0.223,0.031,-0.031,0.0,Mass,0.85,0.026,-0.022,0.0,0.483,0.076,-0.081,0.0,0,0,1,0,10h52m07.78s,163.032425,+00d29m36.1s,0.493352,214.58,1.97,-1.97,0.0,214.58,1.97,-1.97,0.0,10.612,0.059,0.0,V (Johnson),10.459,,0.0,5537.0,71.0,-71.0,0.0,1.1,0.01,-0.02,0.0,1.65,0.04,-0.04,0.0,2018-08-16,K2
1242,K2-264 b,610.0,5.61 Earths,15.662,2018,Neptune-like,2.231 x Earth,0.05023 AU,5.8 days,< 0.5,K2-263,Transit,1.0,89.24,0.05,-0.07,0.0,0.04657,0.00975,-0.00975,0.0,Mass,0.215,0.011,-0.011,0.0,5.7,1.6,-1.4,0.0,0,0,1,0,08h38m43.77s,129.682388,+15d40m50.3s,15.680626,163.23,1.37,-1.37,0.0,163.23,1.37,-1.37,0.0,11.606,0.04,0.0,V (Johnson),11.405,,0.0,5368.0,44.0,-44.0,0.0,0.88,0.03,-0.03,0.0,0.85,0.02,-0.02,0.0,2018-09-27,K2
1243,K2-264 c,610.0,7.6 Earths,15.662,2018,Neptune-like,0.238 x Jupiter,0.11283 AU,19.7 days,< 0.45,K2-264,Transit,,89.01,0.58,-0.4,0.0,,,,,,0.199,0.013,-0.013,0.0,,,,,0,0,1,1,08h45m26.06s,131.358566,+19d41m54.5s,19.698462,187.0,4.0,-4.0,0.0,186.57,2.1,-2.1,0.0,15.318,,0.0,Kepler-band,15.662,,0.0,3660.0,80.0,-45.0,0.0,0.5,0.01,-0.01,0.0,0.47,0.01,-0.01,0.0,2019-02-07,K2
1244,K2-265 b,454.0,6.54 Earths,11.102,2018,Super Earth,1.71 x Earth,0.03376 AU,2.4 days,0.08,K2-264,Transit,,89.38,0.22,-0.13,0.0,,,,,,0.238,0.018,-0.017,0.0,,,,,0,0,1,1,08h45m26.06s,131.358566,+19d41m54.5s,19.698462,187.0,4.0,-4.0,0.0,186.57,2.1,-2.1,0.0,15.318,,0.0,Kepler-band,15.662,,0.0,3660.0,80.0,-45.0,0.0,0.5,0.01,-0.01,0.0,0.47,0.01,-0.01,0.0,2019-02-07,K2
1245,K2-266 b,252.0,11.26782 Earths,11.808,2018,Neptune-like,0.294 x Jupiter,0.01306 AU,0.7 days,0.0,K2-265,Transit,0.0,87.7,1.6,-1.6,0.0,0.02058,0.00264,-0.00264,0.0,Mass,0.153,0.01,-0.01,0.0,7.1,1.8,-1.8,0.0,0,0,1,0,22h48m07.57s,342.031525,-14d29m40.9s,-14.494689,139.22,0.98,-0.98,0.0,139.22,0.98,-0.98,0.0,11.102,0.037,0.0,V (Johnson),10.928,,0.0,5477.0,27.0,-27.0,0.0,0.92,0.02,-0.02,0.0,0.98,0.05,-0.05,0.0,2018-10-04,K2
1246,K2-266 c,252.0,0.29013 Earths,11.808,2018,Terrestrial,0.705 x Earth,0.0679 AU,7.8 days,0.04,K2-266,Transit,,75.32,0.62,-0.7,0.0,0.03545,0.03578,-0.03578,0.0,Msin(i)/sin(i),0.294,0.161,-0.116,0.0,1.77,1.9,-0.88,0.0,0,0,1,0,10h31m44.51s,157.93544,+00d56m15.3s,0.937571,77.16,0.6,-0.59,0.0,77.73,0.36,-0.36,0.0,11.808,0.02,0.0,V (Johnson),11.353,,0.0,4285.0,49.0,-57.0,0.0,0.69,0.03,-0.03,0.0,0.7,0.02,-0.02,0.0,2018-10-26,K2
1247,K2-266 d,252.0,8.9 Earths,11.808,2018,Neptune-like,0.261 x Jupiter,0.1035 AU,14.7 days,0.05,K2-266,Transit,0.0,88.28,0.81,-0.41,0.0,0.00091,0.00054,-0.00054,0.0,Msin(i)/sin(i),0.063,0.009,-0.008,0.0,4.51,0.81,-0.67,0.0,0,0,1,0,10h31m44.51s,157.93544,+00d56m15.3s,0.937571,77.16,0.6,-0.59,0.0,77.73,0.36,-0.36,0.0,11.808,0.02,0.0,V (Johnson),11.353,,0.0,4285.0,49.0,-57.0,0.0,0.69,0.03,-0.03,0.0,0.7,0.02,-0.02,0.0,2018-10-26,K2
1248,K2-266 e,252.0,14.3 Earths,11.808,2018,Neptune-like,0.244 x Jupiter,0.1249 AU,19.5 days,0.04,K2-266,Transit,0.0,89.46,0.32,-0.25,0.0,0.028,0.01793,-0.01196,0.0,Mass,0.261,0.012,-0.011,0.0,2.03,0.64,-0.43,0.0,1,0,1,0,10h31m44.51s,157.93544,+00d56m15.3s,0.937571,77.16,0.6,-0.59,0.0,77.73,0.36,-0.36,0.0,11.808,0.02,0.0,V (Johnson),11.353,,0.0,4285.0,49.0,-57.0,0.0,0.69,0.03,-0.03,0.0,0.7,0.02,-0.02,0.0,2019-07-25,K2
1249,K2-268 b,1081.0,2.57 Earths,13.853,2018,Super Earth,1.41 x Earth,0.0308 AU,2.2 days,0.0,K2-266,Transit,0.0,89.45,0.25,-0.18,0.0,0.04499,0.02014,-0.01573,0.0,Mass,0.244,0.012,-0.01,0.0,2.21,0.7,-0.47,0.0,1,0,1,0,10h31m44.51s,157.93544,+00d56m15.3s,0.937571,77.16,0.6,-0.59,0.0,77.73,0.36,-0.36,0.0,11.808,0.02,0.0,V (Johnson),11.353,,0.0,4285.0,49.0,-57.0,0.0,0.69,0.03,-0.03,0.0,0.7,0.02,-0.02,0.0,2019-07-25,K2
1250,K2-268 c,1081.0,7.7 Earths,13.853,2018,Neptune-like,0.24 x Jupiter,0.0819 AU,9.3 days,0.0,K2-268,Transit,,,,,,,,,,,0.126,0.012,-0.012,0.0,,,,,0,0,1,0,08h54m50.29s,133.709549,+11d50m53.8s,11.848265,331.46,3.15,-3.15,0.0,330.89,3.24,-3.24,0.0,13.853,0.05,0.0,V (Johnson),13.563,,0.0,5068.0,51.0,-51.0,0.0,0.84,0.02,-0.02,0.0,0.78,0.01,-0.01,0.0,2018-10-26,K2
1251,K2-269 b,1181.0,3.09 Earths,11.784,2018,Super Earth,1.57 x Earth,0.0531 AU,4.1 days,0.0,K2-268,Transit,,,,,,,,,,,0.24,0.021,-0.021,0.0,,,,,0,0,1,0,08h54m50.29s,133.709549,+11d50m53.8s,11.848265,331.46,3.15,-3.15,0.0,330.89,3.24,-3.24,0.0,13.853,0.05,0.0,V (Johnson),13.563,,0.0,5068.0,51.0,-51.0,0.0,0.84,0.02,-0.02,0.0,0.78,0.01,-0.01,0.0,2018-10-26,K2
1252,K2-26 b,324.0,7.61 Earths,14.53,2016,Neptune-like,0.238 x Jupiter,0.0962 AU,14.6 days,0.0,K2-269,Transit,,,,,,,,,,,0.14,0.011,-0.011,0.0,,,,,0,0,1,0,08h40m37.24s,130.155167,+13d00m52.8s,13.014676,362.07,14.41,-14.41,0.0,363.85,15.3,-15.3,0.0,11.784,0.204,0.0,V (Johnson),11.377,,0.0,6209.0,88.0,-88.0,0.0,1.16,0.04,-0.04,0.0,1.45,0.06,-0.06,0.0,2018-10-26,K2
1253,K2-270 b,925.0,2.48 Earths,13.782,2018,Super Earth,1.38 x Earth,0.0247 AU,1.5 days,0.0,K2-27,Transit,0.0,,,,,0.09722,0.01447,-0.01447,0.0,Mass,0.4,0.021,-0.021,0.0,1.87,0.41,-0.41,0.0,0,0,1,0,11h26m03.64s,171.515167,+01d13m50.7s,1.230738,251.43,2.48,-2.48,0.0,251.43,2.48,-2.48,0.0,12.64,0.02,0.0,V (Johnson),12.453,,0.0,5248.0,60.0,-60.0,0.0,0.87,0.03,-0.02,0.0,0.89,0.04,-0.04,0.0,2017-02-09,K2
1254,K2-270 c,925.0,9.01 Earths,13.782,2018,Neptune-like,0.263 x Jupiter,0.0497 AU,4.4 days,0.0,K2-270,Transit,,,,,,,,,,,0.123,0.01,-0.01,0.0,,,,,0,0,1,0,08h45m03.98s,131.266602,+13d32m59.4s,13.549833,283.53,2.33,-2.33,0.0,282.79,2.39,-2.39,0.0,13.782,0.02,0.0,V (Johnson),13.47,,0.0,4877.0,58.0,-58.0,0.0,0.85,0.02,-0.02,0.0,0.77,0.01,-0.01,0.0,2018-10-26,K2
1255,K2-271 b,1864.0,0.131 Jupiters,13.827,2018,Gas Giant,0.649 x Jupiter,0.077 AU,8.6 days,0.0,K2-270,Transit,,,,,,,,,,,0.263,0.014,-0.014,0.0,,,,,0,0,1,0,08h45m03.98s,131.266602,+13d32m59.4s,13.549833,283.53,2.33,-2.33,0.0,282.79,2.39,-2.39,0.0,13.782,0.02,0.0,V (Johnson),13.47,,0.0,4877.0,58.0,-58.0,0.0,0.85,0.02,-0.02,0.0,0.77,0.01,-0.01,0.0,2018-10-26,K2
1256,K2-272 b,1391.0,8.8 Earths,13.841,2018,Neptune-like,0.26 x Jupiter,0.1081 AU,14.5 days,0.0,K2-271,Transit,,,,,,,,,,,0.649,0.021,-0.021,0.0,,,,,0,0,1,0,08h20m53.73s,125.223885,+16d05m27.4s,16.090946,571.47,13.59,-13.59,0.0,573.61,14.04,-14.04,0.0,13.827,0.02,0.0,V (Johnson),13.658,,0.0,5644.0,71.0,-71.0,0.0,0.83,0.03,-0.03,0.0,0.99,0.03,-0.03,0.0,2018-10-26,K2
1257,K2-273 b,1013.0,17.9 Earths,13.371,2018,Neptune-like,0.394 x Jupiter,0.0974 AU,11.7 days,0.0,K2-272,Transit,,,,,,,,,,,0.26,0.013,-0.013,0.0,,,,,0,0,1,0,08h50m29.07s,132.621124,+17d32m32.8s,17.542444,426.57,5.3,-5.3,0.0,428.26,5.48,-5.48,0.0,13.841,0.02,0.0,V (Johnson),13.667,,0.0,5419.0,79.0,-79.0,0.0,0.81,0.04,-0.04,0.0,0.81,0.01,-0.01,0.0,2018-10-26,K2
1258,K2-274 b,759.0,5.48 Earths,13.086,2018,Neptune-like,2.2 x Earth,0.1064 AU,14.1 days,0.0,K2-273,Transit,,,,,,,,,,,0.394,0.114,-0.114,0.0,,,,,0,0,1,0,08h39m06.49s,129.777054,+19d00m36.1s,19.010023,310.6,2.88,-2.88,0.0,310.85,2.98,-2.98,0.0,13.371,0.01,0.0,V (Johnson),13.146,,0.0,5200.0,67.0,-67.0,0.0,0.9,0.03,-0.03,0.0,0.84,0.01,-0.01,0.0,2018-10-26,K2
1259,K2-275 b,405.0,5.65 Earths,12.063,2018,Neptune-like,0.2 x Jupiter,0.04 AU,3.3 days,0.0,K2-274,Transit,,,,,,,,,,,0.196,0.011,-0.011,0.0,,,,,0,0,1,0,08h37m07.79s,129.28244,+20d23m57.7s,20.399372,232.82,4.29,-4.29,0.0,229.71,4.75,-4.75,0.0,13.086,0.04,0.0,V (Johnson),12.885,,0.0,5065.0,60.0,-60.0,0.0,0.81,0.02,-0.02,0.0,0.74,0.01,-0.01,0.0,2018-10-26,K2
1260,K2-275 c,405.0,6.08 Earths,12.063,2018,Neptune-like,0.209 x Jupiter,0.075 AU,8.4 days,0.0,K2-275,Transit,,,,,,,,,,,0.2,0.011,-0.011,0.0,,,,,0,0,1,0,08h48m40.77s,132.169891,+20d27m18.3s,20.455076,124.09,0.7,-0.7,0.0,123.87,0.71,-0.71,0.0,12.063,0.01,0.0,V (Johnson),11.814,,0.0,4812.0,59.0,-59.0,0.0,0.79,0.02,-0.02,0.0,0.73,0.01,-0.01,0.0,2018-10-26,K2
1261,K2-276 b,1598.0,13.7 Earths,14.627,2018,Neptune-like,0.336 x Jupiter,0.1291 AU,18.7 days,0.0,K2-275,Transit,,,,,,,,,,,0.209,0.009,-0.009,0.0,,,,,0,0,1,0,08h48m40.77s,132.169891,+20d27m18.3s,20.455076,124.09,0.7,-0.7,0.0,123.87,0.71,-0.71,0.0,12.063,0.01,0.0,V (Johnson),11.814,,0.0,4812.0,59.0,-59.0,0.0,0.79,0.02,-0.02,0.0,0.73,0.01,-0.01,0.0,2018-10-26,K2
